user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur2735	2018-12-17 17:38:34.485905+00:00	2018-12-17 17:31:33+00:00	2018-12-17 16:59:38.675000+00:00	2018-12-17 19:26:36+00:00	2018-12-17 17:02:19+00:00	2018-12-17 18:21:51+00:00
ur1455	2018-12-17 18:19:14.509563+00:00	2018-12-17 18:11:29+00:00	2018-12-17 17:56:32+00:00	2018-12-17 19:04:37.375000+00:00	2018-12-17 17:56:52+00:00	2018-12-17 18:57:34.595000+00:00
ur7752	2018-12-17 17:14:32.637871+00:00	2018-12-17 17:09:46+00:00	2018-12-17 17:02:52+00:00	2018-12-17 17:48:45+00:00	2018-12-17 17:03:14.735000+00:00	2018-12-17 17:38:29.325000+00:00
ur7794						
ur6299	2018-12-17 17:02:28.017751+00:00	2018-12-17 16:56:58+00:00	2018-12-17 16:46:02.600000+00:00	2018-12-17 17:34:41.600000+00:00	2018-12-17 16:47:57+00:00	2018-12-17 17:28:15+00:00
ur7285	2018-12-17 17:51:34.614232+00:00	2018-12-17 17:51:52.500000+00:00	2018-12-17 17:25:55+00:00	2018-12-17 18:37:11+00:00	2018-12-17 17:26:19.695000+00:00	2018-12-17 18:30:09+00:00
ur4302	2018-12-17 18:29:03.996859+00:00	2018-12-17 18:29:56+00:00	2018-12-17 17:51:37.450000+00:00	2018-12-17 18:58:34+00:00	2018-12-17 18:02:39.090000+00:00	2018-12-17 18:55:38.640000+00:00
ur1931	2018-12-17 17:07:57.871111+00:00	2018-12-17 17:04:34+00:00	2018-12-17 16:51:13+00:00	2018-12-17 17:38:56+00:00	2018-12-17 16:51:31+00:00	2018-12-17 17:34:13.460000+00:00
ur2346	2018-12-17 17:33:29.358974+00:00	2018-12-17 17:31:58+00:00	2018-12-17 17:06:35.250000+00:00	2018-12-17 18:11:38+00:00	2018-12-17 17:07:30.450000+00:00	2018-12-17 18:08:18.125000+00:00
ur4234	2018-12-17 17:55:32.271462+00:00	2018-12-17 17:51:01+00:00	2018-12-17 17:48:04+00:00	2018-12-17 18:23:09.500000+00:00	2018-12-17 17:48:04+00:00	2018-12-17 18:16:14+00:00
ur1883	2018-12-17 17:14:43.334183+00:00	2018-12-17 17:11:08+00:00	2018-12-17 16:59:37+00:00	2018-12-17 17:46:57.300000+00:00	2018-12-17 16:59:56+00:00	2018-12-17 17:40:35.550000+00:00
ur0567						
ur6925	2018-12-17 18:55:44.733001+00:00	2018-12-17 18:53:48+00:00	2018-12-17 18:23:18+00:00	2018-12-17 19:43:13+00:00	2018-12-17 18:24:28.170000+00:00	2018-12-17 19:43:01+00:00
ur7799						
ur7921						
ur7172						
ur5241	2018-12-17 16:42:57.243243+00:00	2018-12-17 16:39:58.500000+00:00	2018-12-17 16:29:11+00:00	2018-12-17 17:14:48+00:00	2018-12-17 16:31:27.225000+00:00	2018-12-17 17:01:44.175000+00:00
ur4139	2018-12-17 18:15:03.725726+00:00	2018-12-17 18:12:10+00:00	2018-12-17 18:00:49+00:00	2018-12-17 18:40:34.400000+00:00	2018-12-17 18:01:06+00:00	2018-12-17 18:37:26.170000+00:00
ur9024						
ur6386						
ur0929						
ur6004	2018-12-17 18:13:41.308824+00:00	2018-12-17 18:18:11+00:00	2018-12-17 17:40:31.125000+00:00	2018-12-17 18:43:31.025000+00:00	2018-12-17 17:43:49.770000+00:00	2018-12-17 18:41:35.675000+00:00
ur0533	2018-12-17 17:38:55.614565+00:00	2018-12-17 17:32:40+00:00	2018-12-17 17:10:31.125000+00:00	2018-12-17 18:29:29.875000+00:00	2018-12-17 17:11:18+00:00	2018-12-17 18:18:38+00:00
ur3100	2018-12-17 17:29:52.283088+00:00	2018-12-17 17:20:34+00:00	2018-12-17 17:07:53.100000+00:00	2018-12-17 18:14:42.275000+00:00	2018-12-17 17:08:27.210000+00:00	2018-12-17 18:08:52.895000+00:00
ur1664	2018-12-17 18:56:05.430264+00:00	2018-12-17 19:03:56+00:00	2018-12-17 17:55:17.200000+00:00	2018-12-17 19:28:46.200000+00:00	2018-12-17 18:04:53.480000+00:00	2018-12-17 19:27:36.680000+00:00
ur1996	2018-12-17 17:06:12.939540+00:00	2018-12-17 17:01:28+00:00	2018-12-17 16:54:33+00:00	2018-12-17 17:38:27+00:00	2018-12-17 16:54:42+00:00	2018-12-17 17:29:29.640000+00:00
ur4842	2018-12-17 18:11:08.566547+00:00	2018-12-17 17:57:57+00:00	2018-12-17 17:26:00+00:00	2018-12-17 19:31:18.975000+00:00	2018-12-17 17:26:20+00:00	2018-12-17 19:20:49.065000+00:00
ur0679	2018-12-17 17:03:01.501389+00:00	2018-12-17 16:58:09+00:00	2018-12-17 16:51:12.975000+00:00	2018-12-17 17:41:52.775000+00:00	2018-12-17 16:51:21+00:00	2018-12-17 17:31:54.080000+00:00
ur2252	2018-12-17 17:29:42.258317+00:00	2018-12-17 17:22:13+00:00	2018-12-17 17:01:17.750000+00:00	2018-12-17 18:11:18.250000+00:00	2018-12-17 17:02:55.750000+00:00	2018-12-17 18:08:19.650000+00:00
ur7863	2018-12-17 17:22:36.024194+00:00	2018-12-17 17:19:30.500000+00:00	2018-12-17 17:11:25.075000+00:00	2018-12-17 17:45:44.225000+00:00	2018-12-17 17:11:40.735000+00:00	2018-12-17 17:41:05.510000+00:00
ur0708	2018-12-17 18:25:54.752427+00:00	2018-12-17 18:30:22+00:00	2018-12-17 17:56:40+00:00	2018-12-17 18:59:18.875000+00:00	2018-12-17 17:57:19.445000+00:00	2018-12-17 18:55:13.330000+00:00
ur5489						
ur3161	2018-12-17 17:09:16.295195+00:00	2018-12-17 17:06:32+00:00	2018-12-17 16:51:13.900000+00:00	2018-12-17 17:39:06.300000+00:00	2018-12-17 16:52:07+00:00	2018-12-17 17:34:04.940000+00:00
ur4989	2018-12-17 18:12:28.232609+00:00	2018-12-17 18:05:05+00:00	2018-12-17 17:56:34+00:00	2018-12-17 19:06:11+00:00	2018-12-17 17:57:02+00:00	2018-12-17 18:37:39.940000+00:00
ur7717	2018-12-17 17:32:36.283784+00:00	2018-12-17 17:18:05+00:00	2018-12-17 17:03:04.725000+00:00	2018-12-17 18:23:57.675000+00:00	2018-12-17 17:03:54+00:00	2018-12-17 18:18:18.060000+00:00
ur8247						
ur3528	2018-12-17 17:18:42.445255+00:00	2018-12-17 17:14:28+00:00	2018-12-17 17:06:29+00:00	2018-12-17 17:46:03.400000+00:00	2018-12-17 17:06:35+00:00	2018-12-17 17:42:02.640000+00:00
ur0549						
ur7999						
ur0432	2018-12-17 16:49:59.613163+00:00	2018-12-17 16:47:29+00:00	2018-12-17 16:31:59+00:00	2018-12-17 17:25:58.100000+00:00	2018-12-17 16:32:08+00:00	2018-12-17 17:14:24.910000+00:00
ur1603						
ur6577						
ur8564	2018-12-17 17:06:35.176101+00:00	2018-12-17 17:09:40+00:00	2018-12-17 16:40:31.950000+00:00	2018-12-17 17:23:28.500000+00:00	2018-12-17 16:51:44.430000+00:00	2018-12-17 17:21:14.560000+00:00
